word,reviewed,unreviewed,rowwise_total,norm_reviewed,norm_unreviewed,norm_diff,norm_total
emporium,25.0,3.0,28.0,0.49,0.12,0.37,0.37
huaykwang,12.0,15.0,27.0,0.23,0.61,-0.38,0.36
male,2.0,25.0,27.0,0.04,1.01,-0.97,0.36
mueang,17.0,10.0,27.0,0.33,0.41,-0.07999999999999996,0.36
parking,16.0,11.0,27.0,0.31,0.45,-0.14,0.36
away,18.0,9.0,27.0,0.35,0.37,-0.020000000000000018,0.36
pier,25.0,2.0,27.0,0.49,0.08,0.41,0.36
cafe,12.0,14.0,26.0,0.23,0.57,-0.33999999999999997,0.34
sukhumvitmaxppl,26.0,0.0,26.0,0.51,0.0,0.51,0.34
tower,15.0,11.0,26.0,0.29,0.45,-0.16000000000000003,0.34
kaset,4.0,22.0,26.0,0.08,0.89,-0.81,0.34
front,19.0,7.0,26.0,0.37,0.28,0.08999999999999997,0.34
bdr,22.0,4.0,26.0,0.43,0.16,0.27,0.34
abf,22.0,4.0,26.0,0.43,0.16,0.27,0.34
discount,19.0,7.0,26.0,0.37,0.28,0.08999999999999997,0.34
chong,17.0,9.0,26.0,0.33,0.37,-0.03999999999999998,0.34
rca,14.0,12.0,26.0,0.27,0.49,-0.21999999999999997,0.34
freewifi,23.0,3.0,26.0,0.45,0.12,0.33,0.34
u,8.0,17.0,25.0,0.16,0.69,-0.5299999999999999,0.33
elegant,18.0,7.0,25.0,0.35,0.28,0.06999999999999995,0.33
deal,21.0,4.0,25.0,0.41,0.16,0.24999999999999997,0.33
steps,17.0,8.0,25.0,0.33,0.32,0.010000000000000009,0.33
หองนอน,3.0,22.0,25.0,0.06,0.89,-0.8300000000000001,0.33
arl,20.0,5.0,25.0,0.39,0.2,0.19,0.33
ville,12.0,13.0,25.0,0.23,0.53,-0.30000000000000004,0.33
minimal,15.0,10.0,25.0,0.29,0.41,-0.12,0.33
คอนโด,4.0,20.0,24.0,0.08,0.81,-0.7300000000000001,0.32
bangson,16.0,8.0,24.0,0.31,0.32,-0.010000000000000009,0.32
srinakarin,8.0,16.0,24.0,0.16,0.65,-0.49,0.32
donmuang,14.0,10.0,24.0,0.27,0.41,-0.13999999999999996,0.32
building,10.0,14.0,24.0,0.2,0.57,-0.36999999999999994,0.32
surasak,20.0,4.0,24.0,0.39,0.16,0.23,0.32
term,12.0,12.0,24.0,0.23,0.49,-0.26,0.32
asiatique,19.0,5.0,24.0,0.37,0.2,0.16999999999999998,0.32
sabai,15.0,9.0,24.0,0.29,0.37,-0.08000000000000002,0.32
machine,22.0,2.0,24.0,0.43,0.08,0.35,0.32
rio,12.0,12.0,24.0,0.23,0.49,-0.26,0.32
hidden,19.0,5.0,24.0,0.37,0.2,0.16999999999999998,0.32
nara,13.0,11.0,24.0,0.25,0.45,-0.2,0.32
monomer,17.0,7.0,24.0,0.33,0.28,0.04999999999999999,0.32
na,17.0,6.0,23.0,0.33,0.24,0.09000000000000002,0.3
mrtbts,20.0,3.0,23.0,0.39,0.12,0.27,0.3
phayathai,12.0,11.0,23.0,0.23,0.45,-0.22,0.3
ramkhamhaeng,10.0,13.0,23.0,0.2,0.53,-0.33,0.3
exclusive,11.0,12.0,23.0,0.21,0.49,-0.28,0.3
japanese,16.0,7.0,23.0,0.31,0.28,0.02999999999999997,0.3
friends,16.0,7.0,23.0,0.31,0.28,0.02999999999999997,0.3
junior,5.0,18.0,23.0,0.1,0.73,-0.63,0.3
riverview,17.0,6.0,23.0,0.33,0.24,0.09000000000000002,0.3
foodnight,22.0,1.0,23.0,0.43,0.04,0.39,0.3
nonsi,15.0,8.0,23.0,0.29,0.32,-0.030000000000000027,0.3
dd,15.0,7.0,22.0,0.29,0.28,0.009999999999999953,0.29
meters,15.0,7.0,22.0,0.29,0.28,0.009999999999999953,0.29
fast,20.0,2.0,22.0,0.39,0.08,0.31,0.29
brbts,20.0,2.0,22.0,0.39,0.08,0.31,0.29
short,14.0,8.0,22.0,0.27,0.32,-0.04999999999999999,0.29
nd,18.0,4.0,22.0,0.35,0.16,0.18999999999999997,0.29
shophouse,19.0,3.0,22.0,0.37,0.12,0.25,0.29
